school_name;school_street;school_post_code;school_city;school_longitude;school_latitude;data_humidity_avg;data_pressure_avg;data_temperature_avg;data_pm10_avg;data_pm25_avg;timestamp
SZKOŁA PODSTAWOWA IM.ABP.JÓZEFA BILCZEWSKIEGO W WILAMOWICACH;RYNEK RYNEK;43-330;WILAMOWICE;19.1520875;49.9166289;91.375;1002.6750000000001;3.7583333333333333;53.86666666666667;37.38333333333333;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 3 IM. ZIEMI RADLIŃSKIEJ W RADLINIE;UL. JÓZEFA RYMERA;44-310;RADLIN;18.4495211;50.0469368;100;1002.7583333333333;2.9166666666666665;57.14166666666667;45.916666666666664;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA W CZERWIONCE-LESZCZYNACH;UL. SZKOLNA;44-230;CZERWIONKA-LESZCZYNY;18.6745918;50.1507066;93.375;1006.4416666666666;3.775;54.53333333333333;41.041666666666664;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 9 IM. BERNARDA ŚWIERCZYNY W MYSŁOWICACH;UL. ARMII KRAJOWEJ;41-400;MYSŁOWICE;19.1324669;50.239944;94.06666666666666;1003.9499999999999;3.641666666666667;62.175000000000004;51.833333333333336;2023-02-14 12:01:32
II TECHNIKUM W ŁOSICACH;UL. RADZYŃSKA;08-200;ŁOSICE;22.7247614;52.2001584;90.29166666666667;1009.8000000000001;4.191666666666666;9.775;8.558333333333334;2023-02-14 12:01:32
OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. W WARSZAWIE;UL. ZYGMUNTA KRASIŃSKIEGO;01-530;ŻOLIBORZ;21.0082717;52.2488761;79.35833333333333;1022.1916666666666;5.1;11.183333333333332;10.25;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 3 IM. JANUSZA KUSOCIŃSKIEGO W LEGIONOWIE;UL. WŁADYSŁAWA BRONIEWSKIEGO;unknow;LEGIONOWO;0;0;100;1022.8499999999999;4.808333333333333;14;10.875;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 5 W PYSKOWICACH;UL. SZKOLNA;44-120;PYSKOWICE;18.627695;50.391498;91.25;1010.0833333333334;4.383333333333334;63.675000000000004;50.01666666666667;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. IRENY SENDLEROWEJ W DOBROSZYCACH;UL. PARKOWA;56-410;DOBROSZYCE;17.340778;51.2653364;81.425;1018.8249999999999;4.441666666666666;51.625;42.25;2023-02-14 12:01:32
IV LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W RYBNIKU;UL. 1 MAJA;44-206;RYBNIK;18.54822;50.06920;100;1005.1583333333333;3.275;58.90833333333333;45.375;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W LASKOWEJ;;34-602;LASKOWA;20.4496765;49.7610405;84.28333333333333;997.3000000000001;2.7916666666666665;19.133333333333333;16.458333333333332;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 35 SPECJALNA W RUDZIE ŚLĄSKIEJ;UL. MAGAZYNOWA;41-700;RUDA ŚLĄSKA;18.86383;50.307029;95.64999999999999;1000.5666666666666;3.908333333333333;48.041666666666664;35.208333333333336;2023-02-14 12:01:32
PUBLICZNA SZKOŁA PODSTAWOWA IM.POWSTAŃCÓW 1863 ROKU W NAGOSZEWIE;;07-300;TURKA;21.82001978;52.74592765;88.24166666666667;1017.2166666666667;4.591666666666667;9.075000000000001;8.541666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 3 IM. PODRÓŻNIKÓW I ODKRYWCÓW POLSKICH W OLEŚNICY;UL. JANA KOCHANOWSKIEGO;56-400;OLEŚNICA;17.3900401;51.210936;80.55833333333334;1020.375;5.216666666666667;23.508333333333336;18.525;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. ŚW. JANA PAWŁA II W NIELUBI;;67-231;NIELUBIA;15.9992117;51.6408904;78.30833333333334;1023.7083333333334;5.1;21.183333333333334;19.175;2023-02-14 12:01:32
NIEPUBLICZNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA CLEVER W WAŁBRZYCHU;UL. ARMII KRAJOWEJ;58-302;WAŁBRZYCH;16.2868599;50.8040348;87.85000000000001;988.8583333333332;4.1;44.800000000000004;32.791666666666664;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 19 IM. KS. PIOTRA SKARGI W RZESZOWIE;UL. PIOTRA SKARGI;35-202;RZESZÓW;22.0102447;50.0455103;84.76923076923077;1010.0615384615384;3.4692307692307693;24.315384615384616;22.076923076923077;2023-02-14 12:01:32
"""MAŁA SZKOŁA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA W KONINIE ŻAGAŃSKIM";;68-120;KONIN ŻAGAŃSKI;15.193599;51.545944;92.93333333333334;1022.8083333333334;5.533333333333334;24.075;20.308333333333334;2023-02-14 12:01:32
PUBLICZNA SZKOŁA PODSTAWOWA W GRABINACH;;39-217;GRABINY;21.796093;52.6229809;89.5;1011.0833333333334;3.533333333333333;24.541666666666668;22.266666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 4 W OSTROŁĘCE;UL. LEGIONOWA;07-401;OSTROŁĘKA;21.62082944;53.09947804;79.81666666666666;1018.5749999999999;5.366666666666667;7.6499999999999995;7.349999999999999;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W DĄBRÓWKACH BREŃSKICH;;33-210;DĄBRÓWKI BREŃSKIE;20.9469936;50.2337827;89.78999999999999;1014.96;3.2;39.8;34.97;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W RADLINIE;UL. KORNELA MAKUSZYŃSKIEGO;44-310;RADLIN;18.4797839;50.0470403;96.12727272727274;1003.0636363636364;4.118181818181818;82.52727272727272;66.34545454545454;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W ROGOWIE;UL. SZKOLNA;88-420;ROGOWO;17.6514186;52.7279476;90.89999999999999;1024.8666666666668;2.433333333333333;18.89166666666667;17.158333333333335;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 16 IM. SZCZECIŃSKICH OLIMPIJCZYKÓW W SZCZECINIE;UL. CHOBOLAŃSKA;71-023;SZCZECIN;14.4995518;53.4109284;82.46666666666667;1034.8500000000001;5.383333333333334;9.725;8.450000000000001;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W SILNIE;UL. GŁÓWNA;89-620;SILNO;17.6993;53.65103;97.27499999999999;1020.0583333333334;2.316666666666667;11.275;8.541666666666666;2023-02-14 12:01:32
LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI W SYCOWIE;UL. KOŚCIELNA;56-500;SYCÓW;17.72016;51.30787;84.55;1016.7166666666667;4.791666666666667;34.266666666666666;30.441666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W PRZEŁĘKU;;48-303;PRZEŁĘK;17.333027;50.4109082;84.02499999999999;1011.475;4.966666666666667;41.24166666666667;34.958333333333336;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W BRZYSKACH;;38-212;BRZYSKA;21.3890225;49.8193288;87.79166666666667;1004.5833333333334;3.358333333333333;26.141666666666666;23.983333333333334;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W PALMIEROWIE;;89-240;PALMIEROWO;17.4627478;52.9721294;93.60000000000001;1023.5500000000001;2.2916666666666665;15.725;15.416666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W STANICY;UL. GLIWICKA;44-145;STANICA;18.515091571164813;50.20548283735458;100;1008.2916666666666;3.5;54.50833333333333;43.225;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. ALEKSANDRA FREDRY W WICINIE;;68-320;WICINA;15.0782331;51.7674523;91.08;1029.57;5.33;43.269999999999996;34.68;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W DOBROMIERZU;UL. PODGÓRNA;58-170;DOBROMIERZ;16.2329721;50.9099086;94.45833333333333;998.7916666666666;3.716666666666667;21.083333333333332;18.033333333333335;2023-02-14 12:01:32
LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W BRZESKU;UL. GEN. LEOPOLDA OKULICKIEGO;32-800;BRZESKO;20.606503;49.975605;89.77499999999999;1006.7416666666667;3.3499999999999996;34.55833333333333;26.983333333333334;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W JAWORZYNIE ŚLĄSKIEJ;UL. ADAMA MICKIEWICZA;58-140;JAWORZYNA ŚLĄSKA;16.43197400;50.91057600;87.68333333333334;1010.3416666666667;5.2250000000000005;41.65;30.675;2023-02-14 12:01:32
NO BELL SZKOŁA PODSTAWOWA MONTESSORI W KONSTANCINIE-JEZIORNEJ;UL. MIRKOWSKA;05-520;KONSTANCIN-JEZIORNA;21.13066920;52.10161920;79.34166666666667;1022.1750000000001;5.066666666666666;12.116666666666667;10.291666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W DOBRZYNIÓWCE;;16-060;DOBRZYNIÓWKA;23.369189400000003;53.04422087901619;92.51818181818182;1007.0545454545455;3.9454545454545453;7.590909090909091;5.881818181818182;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 173 IM. GÓRNIKÓW POLSKICH W WARSZAWIE;INNE TRAKT BRZESKI;05-077;WARSZAWA;21.2213906;52.2233683;77.89999999999999;1020.4916666666667;5.208333333333333;13.883333333333333;10.450000000000001;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 50 IM. WŁODZIMIERZA TETMAJERA W KRAKOWIE;UL. KATOWICKA;31-351;KRAKÓW-KROWODRZA;19.88192366;50.08454303;93.625;1009.275;3.5833333333333335;50.76666666666667;40.166666666666664;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W DOBREJ;;38-503;DOBRA;22.27258731;49.61812785;96.03333333333335;1001.5916666666667;2.183333333333333;24.733333333333334;21.808333333333334;2023-02-14 12:01:32
DWUJĘZYCZNA PRYWATNA SZKOŁA PODSTAWOWA IM. ANTONIEGO BUĆKO;UL. ANTONIEGO BUĆKI;16-010;WASILKÓW;23.20824714;53.20575663;87.73333333333333;1011.5666666666666;3.891666666666666;5.108333333333333;3.8000000000000003;2023-02-14 12:01:32
BRANŻOWA SZKOŁA I STOPNIA W ZESPOLE SZKÓŁ NR 2 IM. JANA DŁUGOSZA W WIELUNIU;UL. ROMUALDA TRAUGUTTA;98-300;WIELUŃ;18.55921428;51.2272899;90.45833333333333;1015.5083333333333;4.3;24.733333333333334;23.891666666666666;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA NR 3 W PSZOWIE;UL. ARMII KRAJOWEJ;44-370;PSZÓW;18.3868154;50.0548434;95.48461538461538;1001.1000000000001;3.4384615384615387;57.284615384615385;46.8;2023-02-14 12:01:32
I LICEUM OGÓLNOKSZTAŁCĄCE W PUŁTUSKU;UL. ALEJA TYSIĄCLECIA;06-100;PUŁTUSK;21.0753531;52.7055405;86.29166666666667;1019.1583333333333;4.683333333333334;13.15;10.516666666666667;2023-02-14 12:01:32
PUBLICZNA SZKOŁA PODSTAWOWA NR 2 IM.JULIUSZA LIGONIA W ZESPOLE PLACÓWEK OŚWIATOWYCH W KALETACH MIOTKU;UL. ELIZY ORZESZKOWEJ;42-660;KALETY;18.9537573;50.5518933;100;1001.7333333333332;2.966666666666667;49.166666666666664;36.00833333333333;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W OSTRÓWKU;UL. SZKOLNA;07-132;OSTRÓWEK;21.68182;52.5307;81.4;1018.2692307692307;4.9;13.923076923076923;11.26923076923077;2023-02-14 12:01:32
SZKOŁA PODSTAWOWA W KOKANINIE;;62-817;KOKANIN;18.0903799;51.8135676;99.10000000000001;1020.4833333333332;3.983333333333333;20.608333333333334;18.233333333333334;2023-02-14 12:01:32
